pokemon_species,ja-Hrkt,roomaji,ko,zh-Hant,fr,de,es,it,en,cs,ja,zh-Hans,pt-BR
armaldo,アーマルド,Armaldo,아말도,太古盔甲,Armaldo,Armaldo,Armaldo,Armaldo,"Armaldo, armaldo",,アーマルド,太古盔甲,
feebas,ヒンバス,Hinbass,빈티나,醜醜魚,Barpau,Barschwa,Feebas,Feebas,"Feebas, feebas",,ヒンバス,丑丑鱼,
milotic,ミロカロス,Milokaross,밀로틱,美納斯,Milobellus,Milotic,Milotic,Milotic,"Milotic, milotic",,ミロカロス,美纳斯,
castform,ポワルン,Powalen,캐스퐁,飄浮泡泡,Morphéo,Formeo,Castform,Castform,"Castform, castform, castform-rainy, castform-snowy, castform-sunny",,ポワルン,飘浮泡泡,
kecleon,カクレオン,Kakureon,켈리몬,變隱龍,Kecleon,Kecleon,Kecleon,Kecleon,"Kecleon, kecleon",,カクレオン,变隐龙,
shuppet,カゲボウズ,Kagebouzu,어둠대신,怨影娃娃,Polichombr,Shuppet,Shuppet,Shuppet,"Shuppet, shuppet",,カゲボウズ,怨影娃娃,
banette,ジュペッタ,Juppeta,다크펫,詛咒娃娃,Branette,Banette,Banette,Banette,"Banette, banette, banette-mega",,ジュペッタ,诅咒娃娃,
duskull,ヨマワル,Yomawaru,해골몽,夜巡靈,Skelénox,Zwirrlicht,Duskull,Duskull,"Duskull, duskull",,ヨマワル,夜巡灵,
dusclops,サマヨール,Samayouru,미라몽,彷徨夜靈,Téraclope,Zwirrklop,Dusclops,Dusclops,"Dusclops, dusclops",,サマヨール,彷徨夜灵,
tropius,トロピウス,Tropius,트로피우스,熱帶龍,Tropius,Tropius,Tropius,Tropius,"Tropius, tropius",,トロピウス,热带龙,
chimecho,チリーン,Chirean,치렁,風鈴鈴,Éoko,Palimpalim,Chimecho,Chimecho,"Chimecho, chimecho",,チリーン,风铃铃,
absol,アブソル,Absol,앱솔,阿勃梭魯,Absol,Absol,Absol,Absol,"Absol, absol, absol-mega",,アブソル,阿勃梭鲁,
wynaut,ソーナノ,Sohnano,마자,小果然,Okéoké,Isso,Wynaut,Wynaut,"Wynaut, wynaut",,ソーナノ,小果然,
snorunt,ユキワラシ,Yukiwarashi,눈꼬마,雪童子,Stalgamin,Schneppke,Snorunt,Snorunt,"Snorunt, snorunt",,ユキワラシ,雪童子,
glalie,オニゴーリ,Onigohri,얼음귀신,冰鬼護,Oniglali,Firnontor,Glalie,Glalie,"Glalie, glalie, glalie-mega",,オニゴーリ,冰鬼护,
spheal,タマザラシ,Tamazarashi,대굴레오,海豹球,Obalie,Seemops,Spheal,Spheal,"Spheal, spheal",,タマザラシ,海豹球,
sealeo,トドグラー,Todoggler,씨레오,海魔獅,Phogleur,Seejong,Sealeo,Sealeo,"Sealeo, sealeo",,トドグラー,海魔狮,
walrein,トドゼルガ,Todoseruga,씨카이저,帝牙海獅,Kaimorse,Walraisa,Walrein,Walrein,"Walrein, walrein",,トドゼルガ,帝牙海狮,
clamperl,パールル,Pearlulu,진주몽,珍珠貝,Coquiperl,Perlu,Clamperl,Clamperl,"Clamperl, clamperl",,パールル,珍珠贝,
huntail,ハンテール,Huntail,헌테일,獵斑魚,Serpang,Aalabyss,Huntail,Huntail,"Huntail, huntail",,ハンテール,猎斑鱼,
gorebyss,サクラビス,Sakurabyss,분홍장이,櫻花魚,Rosabyss,Saganabyss,Gorebyss,Gorebyss,"Gorebyss, gorebyss",,サクラビス,樱花鱼,
relicanth,ジーランス,Glanth,시라칸,古空棘魚,Relicanth,Relicanth,Relicanth,Relicanth,"Relicanth, relicanth",,ジーランス,古空棘鱼,
luvdisc,ラブカス,Lovecus,사랑동이,愛心魚,Lovdisc,Liebiskus,Luvdisc,Luvdisc,"Luvdisc, luvdisc",,ラブカス,爱心鱼,
bagon,タツベイ,Tatsubay,아공이,寶貝龍,Draby,Kindwurm,Bagon,Bagon,"Bagon, bagon",,タツベイ,宝贝龙,
shelgon,コモルー,Komoruu,쉘곤,甲殼龍,Drackhaus,Draschel,Shelgon,Shelgon,"Shelgon, shelgon",,コモルー,甲壳龙,
salamence,ボーマンダ,Bohmander,보만다,暴飛龍,Drattak,Brutalanda,Salamence,Salamence,"Salamence, salamence, salamence-mega",,ボーマンダ,暴飞龙,
beldum,ダンバル,Dumbber,메탕,鐵啞鈴,Terhal,Tanhel,Beldum,Beldum,"Beldum, beldum",,ダンバル,铁哑铃,
metang,メタング,Metang,메탕구,金屬怪,Métang,Metang,Metang,Metang,"Metang, metang",,メタング,金属怪,
metagross,メタグロス,Metagross,메타그로스,巨金怪,Métalosse,Metagross,Metagross,Metagross,"Metagross, metagross, metagross-mega",,メタグロス,巨金怪,
regirock,レジロック,Regirock,레지락,雷吉洛克,Regirock,Regirock,Regirock,Regirock,"Regirock, regirock",,レジロック,雷吉洛克,
regice,レジアイス,Regice,레지아이스,雷吉艾斯,Regice,Regice,Regice,Regice,"Regice, regice",,レジアイス,雷吉艾斯,
registeel,レジスチル,Registeel,레지스틸,雷吉斯奇魯,Registeel,Registeel,Registeel,Registeel,"Registeel, registeel",,レジスチル,雷吉斯奇鲁,
latias,ラティアス,Latias,라티아스,拉帝亞斯,Latias,Latias,Latias,Latias,"Latias, latias, latias-mega",,ラティアス,拉帝亚斯,
latios,ラティオス,Latios,라티오스,拉帝歐斯,Latios,Latios,Latios,Latios,"Latios, latios, latios-mega",,ラティオス,拉帝欧斯,
kyogre,カイオーガ,Kyogre,가이오가,蓋歐卡,Kyogre,Kyogre,Kyogre,Kyogre,"Kyogre, kyogre, kyogre-primal",,カイオーガ,盖欧卡,
groudon,グラードン,Groudon,그란돈,固拉多,Groudon,Groudon,Groudon,Groudon,"Groudon, groudon, groudon-primal",,グラードン,固拉多,
rayquaza,レックウザ,Rayquaza,레쿠쟈,烈空坐,Rayquaza,Rayquaza,Rayquaza,Rayquaza,"Rayquaza, rayquaza, rayquaza-mega",,レックウザ,烈空坐,
jirachi,ジラーチ,Jirachi,지라치,基拉祈,Jirachi,Jirachi,Jirachi,Jirachi,"Jirachi, jirachi",,ジラーチ,基拉祈,
turtwig,ナエトル,Naetle,모부기,草苗龜,Tortipouss,Chelast,Turtwig,Turtwig,"Turtwig, turtwig",,ナエトル,草苗龟,
grotle,ハヤシガメ,Hayashigame,수풀부기,樹林龜,Boskara,Chelcarain,Grotle,Grotle,"Grotle, grotle",,ハヤシガメ,树林龟,
torterra,ドダイトス,Dodaitose,토대부기,土台龜,Torterra,Chelterrar,Torterra,Torterra,"Torterra, torterra",,ドダイトス,土台龟,
chimchar,ヒコザル,Hikozaru,불꽃숭이,小火焰猴,Ouisticram,Panflam,Chimchar,Chimchar,"Chimchar, chimchar",,ヒコザル,小火焰猴,
monferno,モウカザル,Mōkazaru,파이숭이,猛火猴,Chimpenfeu,Panpyro,Monferno,Monferno,"Monferno, monferno",,モウカザル,猛火猴,
infernape,ゴウカザル,Gōkazaru,초염몽,烈焰猴,Simiabraz,Panferno,Infernape,Infernape,"Infernape, infernape",,ゴウカザル,烈焰猴,
piplup,ポッチャマ,Pochama,팽도리,波加曼,Tiplouf,Plinfa,Piplup,Piplup,"Piplup, piplup",,ポッチャマ,波加曼,
prinplup,ポッタイシ,Pottaishi,팽태자,波皇子,Prinplouf,Pliprin,Prinplup,Prinplup,"Prinplup, prinplup",,ポッタイシ,波皇子,
empoleon,エンペルト,Emperte,엠페르트,帝王拿波,Pingoléon,Impoleon,Empoleon,Empoleon,"Empoleon, empoleon",,エンペルト,帝王拿波,
starly,ムックル,Mukkuru,찌르꼬,姆克兒,Étourmi,Staralili,Starly,Starly,"Starly, starly",,ムックル,姆克儿,
staravia,ムクバード,Mukubird,찌르버드,姆克鳥,Étourvol,Staravia,Staravia,Staravia,"Staravia, staravia",,ムクバード,姆克鸟,
staraptor,ムクホーク,Mukuhawk,찌르호크,姆克鷹,Étouraptor,Staraptor,Staraptor,Staraptor,"Staraptor, staraptor",,ムクホーク,姆克鹰,
bidoof,ビッパ,Bipper,비버니,大牙狸,Keunotor,Bidiza,Bidoof,Bidoof,"Bidoof, bidoof",,ビッパ,大牙狸,
bibarel,ビーダル,Beadull,비버통,大尾狸,Castorno,Bidifas,Bibarel,Bibarel,"Bibarel, bibarel",,ビーダル,大尾狸,
kricketot,コロボーシ,Korobohshi,귀뚤뚜기,圓法師,Crikzik,Zirpurze,Kricketot,Kricketot,"Kricketot, kricketot",,コロボーシ,圆法师,
kricketune,コロトック,Korotok,귀뚤톡크,音箱蟀,Mélokrik,Zirpeise,Kricketune,Kricketune,"Kricketune, kricketune",,コロトック,音箱蟀,
shinx,コリンク,Kolink,꼬링크,小貓怪,Lixy,Sheinux,Shinx,Shinx,"Shinx, shinx",,コリンク,小猫怪,
luxio,ルクシオ,Luxio,럭시오,勒克貓,Luxio,Luxio,Luxio,Luxio,"Luxio, luxio",,ルクシオ,勒克猫,
luxray,レントラー,Rentorar,렌트라,倫琴貓,Luxray,Luxtra,Luxray,Luxray,"Luxray, luxray",,レントラー,伦琴猫,
budew,スボミー,Subomie,꼬몽울,含羞苞,Rozbouton,Knospi,Budew,Budew,"Budew, budew",,スボミー,含羞苞,
roserade,ロズレイド,Roserade,로즈레이드,羅絲雷朵,Roserade,Roserade,Roserade,Roserade,"Roserade, roserade",,ロズレイド,罗丝雷朵,
cranidos,ズガイドス,Zugaidos,두개도스,頭蓋龍,Kranidos,Koknodon,Cranidos,Cranidos,"Cranidos, cranidos",,ズガイドス,头盖龙,
rampardos,ラムパルド,Rampard,램펄드,戰槌龍,Charkos,Rameidon,Rampardos,Rampardos,"Rampardos, rampardos",,ラムパルド,战槌龙,
shieldon,タテトプス,Tatetops,방패톱스,盾甲龍,Dinoclier,Schilterus,Shieldon,Shieldon,"Shieldon, shieldon",,タテトプス,盾甲龙,
bastiodon,トリデプス,Trideps,바리톱스,護城龍,Bastiodon,Bollterus,Bastiodon,Bastiodon,"Bastiodon, bastiodon",,トリデプス,护城龙,
burmy,ミノムッチ,Minomucchi,도롱충이,結草兒,Cheniti,Burmy,Burmy,Burmy,"Burmy, burmy",,ミノムッチ,结草儿,
mothim,ガーメイル,Garmeil,나메일,紳士蛾,Papilord,Moterpel,Mothim,Mothim,"Mothim, mothim",,ガーメイル,绅士蛾,
combee,ミツハニー,Mitsuhoney,세꿀버리,三蜜蜂,Apitrini,Wadribie,Combee,Combee,"Combee, combee",,ミツハニー,三蜜蜂,
vespiquen,ビークイン,Beequeen,비퀸,蜂女王,Apireine,Honweisel,Vespiquen,Vespiquen,"Vespiquen, vespiquen",,ビークイン,蜂女王,
pachirisu,パチリス,Pachirisu,파치리스,帕奇利茲,Pachirisu,Pachirisu,Pachirisu,Pachirisu,"Pachirisu, pachirisu",,パチリス,帕奇利兹,
buizel,ブイゼル,Buoysel,브이젤,泳圈鼬,Mustébouée,Bamelin,Buizel,Buizel,"Buizel, buizel",,ブイゼル,泳圈鼬,
floatzel,フローゼル,Flowsel,플로젤,浮潛鼬,Mustéflott,Bojelin,Floatzel,Floatzel,"Floatzel, floatzel",,フローゼル,浮潜鼬,
cherubi,チェリンボ,Cherinbo,체리버,櫻花寶,Ceribou,Kikugi,Cherubi,Cherubi,"Cherubi, cherubi",,チェリンボ,樱花宝,
cherrim,チェリム,Cherrim,체리꼬,櫻花兒,Ceriflor,Kinoso,Cherrim,Cherrim,"Cherrim, cherrim",,チェリム,樱花儿,
shellos,カラナクシ,Karanakushi,깝질무,無殼海兔,Sancoki,Schalellos,Shellos,Shellos,"Shellos, shellos",,カラナクシ,无壳海兔,
gastrodon,トリトドン,Toritodon,트리토돈,海兔獸,Tritosor,Gastrodon,Gastrodon,Gastrodon,"Gastrodon, gastrodon",,トリトドン,海兔兽,
ambipom,エテボース,Eteboth,겟핸보숭,雙尾怪手,Capidextre,Ambidiffel,Ambipom,Ambipom,"Ambipom, ambipom",,エテボース,双尾怪手,
drifloon,フワンテ,Fuwante,흔들풍손,飄飄球,Baudrive,Driftlon,Drifloon,Drifloon,"Drifloon, drifloon",,フワンテ,飘飘球,
drifblim,フワライド,Fuwaride,둥실라이드,隨風球,Grodrive,Drifzepeli,Drifblim,Drifblim,"Drifblim, drifblim",,フワライド,随风球,
buneary,ミミロル,Mimirol,이어롤,捲捲耳,Laporeille,Haspiror,Buneary,Buneary,"Buneary, buneary",,ミミロル,卷卷耳,
lopunny,ミミロップ,Mimilop,이어롭,長耳兔,Lockpin,Schlapor,Lopunny,Lopunny,"Lopunny, lopunny, lopunny-mega",,ミミロップ,长耳兔,
mismagius,ムウマージ,Mumage,무우마직,夢妖魔,Magirêve,Traunmagil,Mismagius,Mismagius,"Mismagius, mismagius",,ムウマージ,梦妖魔,
honchkrow,ドンカラス,Donkarasu,돈크로우,烏鴉頭頭,Corboss,Kramshef,Honchkrow,Honchkrow,"Honchkrow, honchkrow",,ドンカラス,乌鸦头头,
glameow,ニャルマー,Nyarmar,나옹마,魅力喵,Chaglam,Charmian,Glameow,Glameow,"Glameow, glameow",,ニャルマー,魅力喵,
purugly,ブニャット,Bunyat,몬냥이,東施喵,Chaffreux,Shnurgarst,Purugly,Purugly,"Purugly, purugly",,ブニャット,东施喵,
chingling,リーシャン,Lisyan,랑딸랑,鈴鐺響,Korillon,Klingplim,Chingling,Chingling,"Chingling, chingling",,リーシャン,铃铛响,
stunky,スカンプー,Skunpoo,스컹뿡,臭鼬噗,Moufouette,Skunkapuh,Stunky,Stunky,"Stunky, stunky",,スカンプー,臭鼬噗,
skuntank,スカタンク,Skutank,스컹탱크,坦克臭鼬,Moufflair,Skuntank,Skuntank,Skuntank,"Skuntank, skuntank",,スカタンク,坦克臭鼬,
bronzor,ドーミラー,Domirror,동미러,銅鏡怪,Archéomire,Bronzel,Bronzor,Bronzor,"Bronzor, bronzor",,ドーミラー,铜镜怪,
bronzong,ドータクン,Dotakun,동탁군,青銅鐘,Archéodong,Bronzong,Bronzong,Bronzong,"Bronzong, bronzong",,ドータクン,青铜钟,
bonsly,ウソハチ,Usohachi,꼬지지,盆才怪,Manzaï,Mobai,Bonsly,Bonsly,"Bonsly, bonsly",,ウソハチ,盆才怪,
mime-jr,マネネ,Manene,흉내내,魔尼尼,Mime Jr.,Pantimimi,Mime Jr.,Mime Jr.,"Mime Jr., mime-jr",,マネネ,魔尼尼,
happiny,ピンプク,Pinpuku,핑복,小福蛋,Ptiravi,Wonneira,Happiny,Happiny,"Happiny, happiny",,ピンプク,小福蛋,
chatot,ペラップ,Perap,페라페,聒噪鳥,Pijako,Plaudagei,Chatot,Chatot,"Chatot, chatot",,ペラップ,聒噪鸟,
spiritomb,ミカルゲ,Mikaruge,화강돌,花岩怪,Spiritomb,Kryppuk,Spiritomb,Spiritomb,"Spiritomb, spiritomb",,ミカルゲ,花岩怪,
gible,フカマル,Fukamaru,딥상어동,圓陸鯊,Griknot,Kaumalat,Gible,Gible,"Gible, gible",,フカマル,圆陆鲨,
gabite,ガバイト,Gabite,한바이트,尖牙陸鯊,Carmache,Knarksel,Gabite,Gabite,"Gabite, gabite",,ガバイト,尖牙陆鲨,
garchomp,ガブリアス,Gablias,한카리아스,烈咬陸鯊,Carchacrok,Knakrack,Garchomp,Garchomp,"Garchomp, garchomp, garchomp-mega",,ガブリアス,烈咬陆鲨,
munchlax,ゴンベ,Gonbe,먹고자,小卡比獸,Goinfrex,Mampfaxo,Munchlax,Munchlax,"Munchlax, munchlax",,ゴンベ,小卡比兽,
riolu,リオル,Riolu,리오르,利歐路,Riolu,Riolu,Riolu,Riolu,"Riolu, riolu",,リオル,利欧路,
lucario,ルカリオ,Lucario,루카리오,路卡利歐,Lucario,Lucario,Lucario,Lucario,"Lucario, lucario, lucario-mega",,ルカリオ,路卡利欧,
hippopotas,ヒポポタス,Hipopotas,히포포타스,沙河馬,Hippopotas,Hippopotas,Hippopotas,Hippopotas,"Hippopotas, hippopotas",,ヒポポタス,沙河马,
hippowdon,カバルドン,Kabarudon,하마돈,河馬獸,Hippodocus,Hippoterus,Hippowdon,Hippowdon,"Hippowdon, hippowdon",,カバルドン,河马兽,
skorupi,スコルピ,Scorpi,스콜피,鉗尾蠍,Rapion,Pionskora,Skorupi,Skorupi,"Skorupi, skorupi",,スコルピ,钳尾蝎,
drapion,ドラピオン,Dorapion,드래피온,龍王蠍,Drascore,Piondragi,Drapion,Drapion,"Drapion, drapion",,ドラピオン,龙王蝎,
croagunk,グレッグル,Gureggru,삐딱구리,不良蛙,Cradopaud,Glibunkel,Croagunk,Croagunk,"Croagunk, croagunk",,グレッグル,不良蛙,
toxicroak,ドクロッグ,Dokurog,독개굴,毒骷蛙,Coatox,Toxiquak,Toxicroak,Toxicroak,"Toxicroak, toxicroak",,ドクロッグ,毒骷蛙,
carnivine,マスキッパ,Muskippa,무스틈니,尖牙籠,Vortente,Venuflibis,Carnivine,Carnivine,"Carnivine, carnivine",,マスキッパ,尖牙笼,
finneon,ケイコウオ,Keikouo,형광어,螢光魚,Écayon,Finneon,Finneon,Finneon,"Finneon, finneon",,ケイコウオ,荧光鱼,
lumineon,ネオラント,Neolant,네오라이트,霓虹魚,Luminéon,Lumineon,Lumineon,Lumineon,"Lumineon, lumineon",,ネオラント,霓虹鱼,
mantyke,タマンタ,Tamanta,타만타,小球飛魚,Babimanta,Mantirps,Mantyke,Mantyke,"Mantyke, mantyke",,タマンタ,小球飞鱼,
snover,ユキカブリ,Yukikaburi,눈쓰개,雪笠怪,Blizzi,Shnebedeck,Snover,Snover,"Snover, snover",,ユキカブリ,雪笠怪,
abomasnow,ユキノオー,Yukinooh,눈설왕,暴雪王,Blizzaroi,Rexblisar,Abomasnow,Abomasnow,"Abomasnow, abomasnow, abomasnow-mega",,ユキノオー,暴雪王,
weavile,マニューラ,Manyula,포푸니라,瑪狃拉,Dimoret,Snibunna,Weavile,Weavile,"Weavile, weavile",,マニューラ,玛狃拉,
magnezone,ジバコイル,Jibacoil,자포코일,自爆磁怪,Magnézone,Magnezone,Magnezone,Magnezone,"Magnezone, magnezone",,ジバコイル,自爆磁怪,
lickilicky,ベロベルト,Beroberto,내룸벨트,大舌舔,Coudlangue,Schlurplek,Lickilicky,Lickilicky,"Lickilicky, lickilicky",,ベロベルト,大舌舔,
rhyperior,ドサイドン,Dosydon,거대코뿌리,超甲狂犀,Rhinastoc,Rihornior,Rhyperior,Rhyperior,"Rhyperior, rhyperior",,ドサイドン,超甲狂犀,
tangrowth,モジャンボ,Mojumbo,덩쿠림보,巨蔓藤,Bouldeneu,Tangoloss,Tangrowth,Tangrowth,"Tangrowth, tangrowth",,モジャンボ,巨蔓藤,
electivire,エレキブル,Elekible,에레키블,電擊魔獸,Élekable,Elevoltek,Electivire,Electivire,"Electivire, electivire",,エレキブル,电击魔兽,
magmortar,ブーバーン,Booburn,마그마번,鴨嘴炎獸,Maganon,Magbrant,Magmortar,Magmortar,"Magmortar, magmortar",,ブーバーン,鸭嘴炎兽,
togekiss,トゲキッス,Togekiss,토게키스,波克基斯,Togekiss,Togekiss,Togekiss,Togekiss,"Togekiss, togekiss",,トゲキッス,波克基斯,
yanmega,メガヤンマ,Megayanma,메가자리,遠古巨蜓,Yanmega,Yanmega,Yanmega,Yanmega,"Yanmega, yanmega",,メガヤンマ,远古巨蜓,
leafeon,リーフィア,Leafia,리피아,葉伊布,Phyllali,Folipurba,Leafeon,Leafeon,"Leafeon, leafeon",,リーフィア,叶伊布,
glaceon,グレイシア,Glacia,글레이시아,冰伊布,Givrali,Glaziola,Glaceon,Glaceon,"Glaceon, glaceon",,グレイシア,冰伊布,
gliscor,グライオン,Glion,글라이온,天蠍王,Scorvol,Skorgro,Gliscor,Gliscor,"Gliscor, gliscor",,グライオン,天蝎王,
mamoswine,マンムー,Mammoo,맘모꾸리,象牙豬,Mammochon,Mamutel,Mamoswine,Mamoswine,"Mamoswine, mamoswine",,マンムー,象牙猪,
porygon-z,ポリゴンＺ,PorygonZ,폴리곤Z,多邊獸Ｚ,Porygon-Z,Porygon-Z,Porygon-Z,Porygon-Z,"Porygon-Z, porygon-z",,ポリゴンＺ,多边兽乙型,
gallade,エルレイド,Erlade,엘레이드,艾路雷朵,Gallame,Galagladi,Gallade,Gallade,"Gallade, gallade, gallade-mega",,エルレイド,艾路雷朵,
probopass,ダイノーズ,Dainose,대코파스,大朝北鼻,Tarinorme,Voluminas,Probopass,Probopass,"Probopass, probopass",,ダイノーズ,大朝北鼻,
dusknoir,ヨノワール,Yonoir,야느와르몽,黑夜魔靈,Noctunoir,Zwirrfinst,Dusknoir,Dusknoir,"Dusknoir, dusknoir",,ヨノワール,黑夜魔灵,
froslass,ユキメノコ,Yukimenoko,눈여아,雪妖女,Momartik,Frosdedje,Froslass,Froslass,"Froslass, froslass",,ユキメノコ,雪妖女,
rotom,ロトム,Rotom,로토무,洛托姆,Motisma,Rotom,Rotom,Rotom,"Rotom, rotom, rotom-fan, rotom-frost, rotom-heat, rotom-mow, rotom-wash",,ロトム,洛托姆,
uxie,ユクシー,Yuxie,유크시,由克希,Créhelf,Selfe,Uxie,Uxie,"Uxie, uxie",,ユクシー,由克希,
mesprit,エムリット,Emrit,엠라이트,艾姆利多,Créfollet,Vesprit,Mesprit,Mesprit,"Mesprit, mesprit",,エムリット,艾姆利多,
azelf,アグノム,Agnome,아그놈,亞克諾姆,Créfadet,Tobutz,Azelf,Azelf,"Azelf, azelf",,アグノム,亚克诺姆,
dialga,ディアルガ,Dialga,디아루가,帝牙盧卡,Dialga,Dialga,Dialga,Dialga,"Dialga, dialga, dialga-origin",,ディアルガ,帝牙卢卡,
palkia,パルキア,Palkia,펄기아,帕路奇亞,Palkia,Palkia,Palkia,Palkia,"Palkia, palkia, palkia-origin",,パルキア,帕路奇亚,
heatran,ヒードラン,Heatran,히드런,席多藍恩,Heatran,Heatran,Heatran,Heatran,"Heatran, heatran",,ヒードラン,席多蓝恩,
regigigas,レジギガス,Regigigas,레지기가스,雷吉奇卡斯,Regigigas,Regigigas,Regigigas,Regigigas,"Regigigas, regigigas",,レジギガス,雷吉奇卡斯,
cresselia,クレセリア,Crecelia,크레세리아,克雷色利亞,Cresselia,Cresselia,Cresselia,Cresselia,"Cresselia, cresselia",,クレセリア,克雷色利亚,
phione,フィオネ,Phione,피오네,霏歐納,Phione,Phione,Phione,Phione,"Phione, phione",,フィオネ,霏欧纳,
manaphy,マナフィ,Manaphy,마나피,瑪納霏,Manaphy,Manaphy,Manaphy,Manaphy,"Manaphy, manaphy",,マナフィ,玛纳霏,
darkrai,ダークライ,Darkrai,다크라이,達克萊伊,Darkrai,Darkrai,Darkrai,Darkrai,"Darkrai, darkrai",,ダークライ,达克莱伊,
arceus,アルセウス,Arceus,아르세우스,阿爾宙斯,Arceus,Arceus,Arceus,Arceus,"Arceus, arceus",,アルセウス,阿尔宙斯,
victini,ビクティニ,Victini,비크티니,比克提尼,Victini,Victini,Victini,Victini,"Victini, victini",,ビクティニ,比克提尼,
snivy,ツタージャ,Tsutarja,주리비얀,藤藤蛇,Vipélierre,Serpifeu,Snivy,Snivy,"Snivy, snivy",,ツタージャ,藤藤蛇,
servine,ジャノビー,Janovy,샤비,青藤蛇,Lianaja,Efoserp,Servine,Servine,"Servine, servine",,ジャノビー,青藤蛇,
serperior,ジャローダ,Jalorda,샤로다,君主蛇,Majaspic,Serpiroyal,Serperior,Serperior,"Serperior, serperior",,ジャローダ,君主蛇,
tepig,ポカブ,Pokabu,뚜꾸리,暖暖豬,Gruikui,Floink,Tepig,Tepig,"Tepig, tepig",,ポカブ,暖暖猪,
pignite,チャオブー,Chaoboo,차오꿀,炒炒豬,Grotichon,Ferkokel,Pignite,Pignite,"Pignite, pignite",,チャオブー,炒炒猪,
emboar,エンブオー,Enbuoh,염무왕,炎武王,Roitiflam,Flambirex,Emboar,Emboar,"Emboar, emboar",,エンブオー,炎武王,
oshawott,ミジュマル,Mijumaru,수댕이,水水獺,Moustillon,Ottaro,Oshawott,Oshawott,"Oshawott, oshawott",,ミジュマル,水水獭,
dewott,フタチマル,Futachimaru,쌍검자비,雙刃丸,Mateloutre,Zwottronin,Dewott,Dewott,"Dewott, dewott",,フタチマル,双刃丸,
samurott,ダイケンキ,Daikenki,대검귀,大劍鬼,Clamiral,Admurai,Samurott,Samurott,"Samurott, samurott, samurott-hisui",,ダイケンキ,大剑鬼,
patrat,ミネズミ,Minezumi,보르쥐,探探鼠,Ratentif,Nagelotz,Patrat,Patrat,"Patrat, patrat",,ミネズミ,探探鼠,
watchog,ミルホッグ,Miruhog,보르그,步哨鼠,Miradar,Kukmarda,Watchog,Watchog,"Watchog, watchog",,ミルホッグ,步哨鼠,
lillipup,ヨーテリー,Yorterrie,요테리,小約克,Ponchiot,Yorkleff,Lillipup,Lillipup,"Lillipup, lillipup",,ヨーテリー,小约克,
herdier,ハーデリア,Herderrie,하데리어,哈約克,Ponchien,Terribark,Herdier,Herdier,"Herdier, herdier",,ハーデリア,哈约克,
stoutland,ムーランド,Mooland,바랜드,長毛狗,Mastouffe,Bissbark,Stoutland,Stoutland,"Stoutland, stoutland",,ムーランド,长毛狗,
purrloin,チョロネコ,Choroneko,쌔비냥,扒手貓,Chacripan,Felilou,Purrloin,Purrloin,"Purrloin, purrloin",,チョロネコ,扒手猫,
liepard,レパルダス,Lepardas,레파르다스,酷豹,Léopardus,Kleoparda,Liepard,Liepard,"Liepard, liepard",,レパルダス,酷豹,
pansage,ヤナップ,Yanappu,야나프,花椰猴,Feuillajou,Vegimak,Pansage,Pansage,"Pansage, pansage",,ヤナップ,花椰猴,
simisage,ヤナッキー,Yanakkie,야나키,花椰猿,Feuiloutan,Vegichita,Simisage,Simisage,"Simisage, simisage",,ヤナッキー,花椰猿,
pansear,バオップ,Baoppu,바오프,爆香猴,Flamajou,Grillmak,Pansear,Pansear,"Pansear, pansear",,バオップ,爆香猴,
simisear,バオッキー,Baokkie,바오키,爆香猿,Flamoutan,Grillchita,Simisear,Simisear,"Simisear, simisear",,バオッキー,爆香猿,
panpour,ヒヤップ,Hiyappu,앗차프,冷水猴,Flotajou,Sodamak,Panpour,Panpour,"Panpour, panpour",,ヒヤップ,冷水猴,
simipour,ヒヤッキー,Hiyakkie,앗차키,冷水猿,Flotoutan,Sodachita,Simipour,Simipour,"Simipour, simipour",,ヒヤッキー,冷水猿,
munna,ムンナ,Munna,몽나,食夢夢,Munna,Somniam,Munna,Munna,"Munna, munna",,ムンナ,食梦梦,
musharna,ムシャーナ,Musharna,몽얌나,夢夢蝕,Mushana,Somnivora,Musharna,Musharna,"Musharna, musharna",,ムシャーナ,梦梦蚀,
pidove,マメパト,Mamepato,콩둘기,豆豆鴿,Poichigeon,Dusselgurr,Pidove,Pidove,"Pidove, pidove",,マメパト,豆豆鸽,
tranquill,ハトーボー,Hatoboh,유토브,咕咕鴿,Colombeau,Navitaub,Tranquill,Tranquill,"Tranquill, tranquill",,ハトーボー,咕咕鸽,
unfezant,ケンホロウ,Kenhallow,켄호로우,高傲雉雞,Déflaisan,Fasasnob,Unfezant,Unfezant,"Unfezant, unfezant",,ケンホロウ,高傲雉鸡,
blitzle,シママ,Shimama,줄뮤마,斑斑馬,Zébibron,Elezeba,Blitzle,Blitzle,"Blitzle, blitzle",,シママ,斑斑马,
zebstrika,ゼブライカ,Zebraika,제브라이카,雷電斑馬,Zéblitz,Zebritz,Zebstrika,Zebstrika,"Zebstrika, zebstrika",,ゼブライカ,雷电斑马,
roggenrola,ダンゴロ,Dangoro,단굴,石丸子,Nodulithe,Kiesling,Roggenrola,Roggenrola,"Roggenrola, roggenrola",,ダンゴロ,石丸子,
boldore,ガントル,Gantle,암트르,地幔岩,Géolithe,Sedimantur,Boldore,Boldore,"Boldore, boldore",,ガントル,地幔岩,
