pokemon_species,🇬🇧 (en),🇫🇷 (fr),🇪🇸 (es),🇩🇪 (de),🇮🇹 (it),🇯🇵 (ja),🇰🇷 (ko),🇨🇳 (zh-Hans),🇷🇺 (ru),🇲🇽 (es-MX),🇵🇹 (pt),🇳🇱 (nl),🇹🇷 (tr),🇸🇦 (ar),🇹🇭 (th),🇻🇳 (vi),🇵🇱 (pl),🇸🇪 (sv),🇩🇰 (da),🇳🇴 (no),🇫🇮 (fi),🇬🇷 (el),🇮🇩 (id),🇲🇾 (ms),🇵🇭 (fil),🇭🇺 (hu),🇨🇿 (cs),🇸🇰 (sk),🇷🇴 (ro),🇺🇦 (uk),🇭🇷 (hr),🇧🇬 (bg),🇪🇪 (et),🇱🇻 (lv),🇱🇹 (lt),🇸🇮 (sl),🇲🇹 (mt),🇦🇱 (sq),🇲🇰 (mk),🇧🇦 (bs),🇷🇸 (sr),🇨🇾 (cy),🇮🇪 (ga),🏴 (gd),🇰🇾 (kw),🇧🇷 (br),🇿🇦 (af),🇿🇦 (xh),🇿🇦 (zu),🇿🇦 (tn),🇿🇦 (st),🇿🇦 (ss),🇿🇦 (nr),🇿🇦 (nso),🇿🇦 (ts),🇿🇦 (ve),🇺🇬 (xog),🇺🇬 (lg),🇬🇭 (ak),🇬🇭 (tw),🇧🇫 (bm),🇲🇲 (my),🇰🇭 (km),🇱🇦 (lo),🇪🇹 (am),🇪🇹 (ti),🇪🇹 (om),🇸🇴 (so),🇰🇪 (sw),🇷🇼 (rw),🇳🇬 (yo),🇳🇬 (ig),🇳🇬 (ha),🇧🇩 (bn),🇮🇳 (pa),🇮🇳 (gu),🇮🇳 (or),🇮🇳 (ta),🇮🇳 (te),🇮🇳 (kn),🇮🇳 (ml),🇱🇰 (si),🇳🇵 (ne),🇧🇹 (dz),🇧🇾 (be),🇰🇿 (kk),🇺🇿 (uz),🇰🇬 (ky)
timburr,"Timburr, timburr",Charpenti,Timburr,Praktibalk,Timburr,ドッコラー,으랏차,搬运小匠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gurdurr,"Gurdurr, gurdurr",Ouvrifier,Gurdurr,Strepoli,Gurdurr,ドテッコツ,토쇠골,铁骨土人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conkeldurr,"Conkeldurr, conkeldurr",Bétochef,Conkeldurr,Meistagrif,Conkeldurr,ローブシン,노보청,修建老匠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tympole,"Tympole, tympole",Tritonde,Tympole,Schallquap,Tympole,オタマロ,동챙이,圆蝌蚪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palpitoad,"Palpitoad, palpitoad",Batracné,Palpitoad,Mebrana,Palpitoad,ガマガル,두까비,蓝蟾蜍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seismitoad,"Seismitoad, seismitoad",Crapustule,Seismitoad,Branawarz,Seismitoad,ガマゲロゲ,두빅굴,蟾蜍王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
throh,"Throh, throh",Judokrak,Throh,Jiutesto,Throh,ナゲキ,던지미,投摔鬼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sawk,"Sawk, sawk",Karaclée,Sawk,Karadonis,Sawk,ダゲキ,타격귀,打击鬼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sewaddle,"Sewaddle, sewaddle",Larveyette,Sewaddle,Strawickl,Sewaddle,クルミル,두르보,虫宝包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swadloon,"Swadloon, swadloon",Couverdure,Swadloon,Folikon,Swadloon,クルマユ,두르쿤,宝包茧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leavanny,"Leavanny, leavanny",Manternel,Leavanny,Matrifol,Leavanny,ハハコモリ,모아머,保姆虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
venipede,"Venipede, venipede",Venipatte,Venipede,Toxiped,Venipede,フシデ,마디네,百足蜈蚣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whirlipede,"Whirlipede, whirlipede",Scobolide,Whirlipede,Rollum,Whirlipede,ホイーガ,휠구,车轮球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scolipede,"Scolipede, scolipede",Brutapode,Scolipede,Cerapendra,Scolipede,ペンドラー,펜드라,蜈蚣王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cottonee,"Cottonee, cottonee",Doudouvet,Cottonee,Waumboll,Cottonee,モンメン,소미안,木棉球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whimsicott,"Whimsicott, whimsicott",Farfaduvet,Whimsicott,Elfun,Whimsicott,エルフーン,엘풍,风妖精,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petilil,"Petilil, petilil",Chlorobule,Petilil,Lilminip,Petilil,チュリネ,치릴리,百合根娃娃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lilligant,"Lilligant, lilligant, lilligant-hisui",Fragilady,Lilligant,Dressella,Lilligant,ドレディア,드레디어,裙儿小姐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basculin,"Basculin, basculin-blue-striped, basculin-red-striped, basculin-white-striped",Bargantua,Basculin,Barschuft,Basculin,バスラオ,배쓰나이,野蛮鲈鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandile,"Sandile, sandile",Mascaïman,Sandile,Ganovil,Sandile,メグロコ,깜눈크,黑眼鳄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krokorok,"Krokorok, krokorok",Escroco,Krokorok,Rokkaiman,Krokorok,ワルビル,악비르,混混鳄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krookodile,"Krookodile, krookodile",Crocorible,Krookodile,Rabigator,Krookodile,ワルビアル,악비아르,流氓鳄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darumaka,"Darumaka, darumaka, darumaka-galar",Darumarond,Darumaka,Flampion,Darumaka,ダルマッカ,달막화,火红不倒翁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darmanitan,"Darmanitan, darmanitan-galar-standard, darmanitan-galar-zen, darmanitan-standard, darmanitan-zen",Darumacho,Darmanitan,Flampivian,Darmanitan,ヒヒダルマ,불비달마,达摩狒狒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maractus,"Maractus, maractus",Maracachi,Maractus,Maracamba,Maractus,マラカッチ,마라카치,沙铃仙人掌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dwebble,"Dwebble, dwebble",Crabicoque,Dwebble,Lithomith,Dwebble,イシズマイ,돌살이,石居蟹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crustle,"Crustle, crustle",Crabaraque,Crustle,Castellith,Crustle,イワパレス,암팰리스,岩殿居蟹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scraggy,"Scraggy, scraggy",Baggiguane,Scraggy,Zurrokex,Scraggy,ズルッグ,곤율랭,滑滑小子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrafty,"Scrafty, scrafty",Baggaïd,Scrafty,Irokex,Scrafty,ズルズキン,곤율거니,头巾混混,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigilyph,"Sigilyph, sigilyph",Cryptéro,Sigilyph,Symvolara,Sigilyph,シンボラー,심보러,象征鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yamask,"Yamask, yamask, yamask-galar",Tutafeh,Yamask,Makabaja,Yamask,デスマス,데스마스,哭哭面具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cofagrigus,"Cofagrigus, cofagrigus",Tutankafer,Cofagrigus,Echnatoll,Cofagrigus,デスカーン,데스니칸,迭失棺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tirtouga,"Tirtouga, tirtouga",Carapagos,Tirtouga,Galapaflos,Tirtouga,プロトーガ,프로토가,原盖海龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carracosta,"Carracosta, carracosta",Mégapagos,Carracosta,Karippas,Carracosta,アバゴーラ,늑골라,肋骨海龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archen,"Archen, archen",Arkéapti,Archen,Flapteryx,Archen,アーケン,아켄,始祖小鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archeops,"Archeops, archeops",Aéroptéryx,Archeops,Aeropteryx,Archeops,アーケオス,아케오스,始祖大鸟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trubbish,"Trubbish, trubbish",Miamiasme,Trubbish,Unratütox,Trubbish,ヤブクロン,깨봉이,破破袋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garbodor,"Garbodor, garbodor, garbodor-gmax",Miasmax,Garbodor,Deponitox,Garbodor,ダストダス,더스트나,灰尘山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zorua,"Zorua, zorua, zorua-hisui",Zorua,Zorua,Zorua,Zorua,ゾロア,조로아,索罗亚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoroark,"Zoroark, zoroark, zoroark-hisui",Zoroark,Zoroark,Zoroark,Zoroark,ゾロアーク,조로아크,索罗亚克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minccino,"Minccino, minccino",Chinchidou,Minccino,Picochilla,Minccino,チラーミィ,치라미,泡沫栗鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinccino,"Cinccino, cinccino",Pashmilla,Cinccino,Chillabell,Cinccino,チラチーノ,치라치노,奇诺栗鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gothita,"Gothita, gothita",Scrutella,Gothita,Mollimorba,Gothita,ゴチム,고디탱,哥德宝宝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gothorita,"Gothorita, gothorita",Mesmérella,Gothorita,Hypnomorba,Gothorita,ゴチミル,고디보미,哥德小童,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gothitelle,"Gothitelle, gothitelle",Sidérella,Gothitelle,Morbitesse,Gothitelle,ゴチルゼル,고디모아젤,哥德小姐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solosis,"Solosis, solosis",Nucléos,Solosis,Monozyto,Solosis,ユニラン,유니란,单卵细胞球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duosion,"Duosion, duosion",Méios,Duosion,Mitodos,Duosion,ダブラン,듀란,双卵细胞球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reuniclus,"Reuniclus, reuniclus",Symbios,Reuniclus,Zytomega,Reuniclus,ランクルス,란쿨루스,人造细胞卵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ducklett,"Ducklett, ducklett",Couaneton,Ducklett,Piccolente,Ducklett,コアルヒー,꼬지보리,鸭宝宝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swanna,"Swanna, swanna",Lakmécygne,Swanna,Swaroness,Swanna,スワンナ,스완나,舞天鹅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanillite,"Vanillite, vanillite",Sorbébé,Vanillite,Gelatini,Vanillite,バニプッチ,바닐프티,迷你冰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanillish,"Vanillish, vanillish",Sorboul,Vanillish,Gelatroppo,Vanillish,バニリッチ,바닐리치,多多冰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanilluxe,"Vanilluxe, vanilluxe",Sorbouboul,Vanilluxe,Gelatwino,Vanilluxe,バイバニラ,배바닐라,双倍多多冰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deerling,"Deerling, deerling",Vivaldaim,Deerling,Sesokitz,Deerling,シキジカ,사철록,四季鹿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sawsbuck,"Sawsbuck, sawsbuck",Haydaim,Sawsbuck,Kronjuwild,Sawsbuck,メブキジカ,바라철록,萌芽鹿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emolga,"Emolga, emolga",Emolga,Emolga,Emolga,Emolga,エモンガ,에몽가,电飞鼠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karrablast,"Karrablast, karrablast",Carabing,Karrablast,Laukaps,Karrablast,カブルモ,딱정곤,盖盖虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
escavalier,"Escavalier, escavalier",Lançargot,Escavalier,Cavalanzas,Escavalier,シュバルゴ,슈바르고,骑士蜗牛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foongus,"Foongus, foongus",Trompignon,Foongus,Tarnpignon,Foongus,タマゲタケ,깜놀버슬,哎呀球菇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amoonguss,"Amoonguss, amoonguss",Gaulet,Amoonguss,Hutsassa,Amoonguss,モロバレル,뽀록나,败露球菇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frillish,"Frillish, frillish",Viskuse,Frillish,Quabbel,Frillish,プルリル,탱그릴,轻飘飘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jellicent,"Jellicent, jellicent",Moyade,Jellicent,Apoquallyp,Jellicent,ブルンゲル,탱탱겔,胖嘟嘟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alomomola,"Alomomola, alomomola",Mamanbo,Alomomola,Mamolida,Alomomola,ママンボウ,맘복치,保姆曼波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joltik,"Joltik, joltik",Statitik,Joltik,Wattzapf,Joltik,バチュル,파쪼옥,电电虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galvantula,"Galvantula, galvantula",Mygavolt,Galvantula,Voltula,Galvantula,デンチュラ,전툴라,电蜘蛛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferroseed,"Ferroseed, ferroseed",Grindur,Ferroseed,Kastadur,Ferroseed,テッシード,철시드,种子铁球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferrothorn,"Ferrothorn, ferrothorn",Noacier,Ferrothorn,Tentantel,Ferrothorn,ナットレイ,너트령,坚果哑铃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klink,"Klink, klink",Tic,Klink,Klikk,Klink,ギアル,기어르,齿轮儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klang,"Klang, klang",Clic,Klang,Kliklak,Klang,ギギアル,기기어르,齿轮组,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klinklang,"Klinklang, klinklang",Cliticlic,Klinklang,Klikdiklak,Klinklang,ギギギアル,기기기어르,齿轮怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tynamo,"Tynamo, tynamo",Anchwatt,Tynamo,Zapplardin,Tynamo,シビシラス,저리어,麻麻小鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eelektrik,"Eelektrik, eelektrik",Lampéroie,Eelektrik,Zapplalek,Eelektrik,シビビール,저리릴,麻麻鳗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eelektross,"Eelektross, eelektross",Ohmassacre,Eelektross,Zapplarang,Eelektross,シビルドン,저리더프,麻麻鳗鱼王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elgyem,"Elgyem, elgyem",Lewsor,Elgyem,Pygraulon,Elgyem,リグレー,리그레,小灰怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beheeyem,"Beheeyem, beheeyem",Neitram,Beheeyem,Megalon,Beheeyem,オーベム,벰크,大宇怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
litwick,"Litwick, litwick",Funécire,Litwick,Lichtel,Litwick,ヒトモシ,불켜미,烛光灵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lampent,"Lampent, lampent",Mélancolux,Lampent,Laternecto,Lampent,ランプラー,램프라,灯火幽灵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandelure,"Chandelure, chandelure",Lugulabre,Chandelure,Skelabra,Chandelure,シャンデラ,샹델라,水晶灯火灵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axew,"Axew, axew",Coupenotte,Axew,Milza,Axew,キバゴ,터검니,牙牙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraxure,"Fraxure, fraxure",Incisache,Fraxure,Sharfax,Fraxure,オノンド,액슨도,斧牙龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haxorus,"Haxorus, haxorus",Tranchodon,Haxorus,Maxax,Haxorus,オノノクス,액스라이즈,双斧战龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubchoo,"Cubchoo, cubchoo",Polarhume,Cubchoo,Petznief,Cubchoo,クマシュン,코고미,喷嚏熊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beartic,"Beartic, beartic",Polagriffe,Beartic,Siberio,Beartic,ツンベアー,툰베어,冻原熊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cryogonal,"Cryogonal, cryogonal",Hexagel,Cryogonal,Frigometri,Cryogonal,フリージオ,프리지오,几何雪花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shelmet,"Shelmet, shelmet",Escargaume,Shelmet,Schnuthelm,Shelmet,チョボマキ,쪼마리,小嘴蜗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accelgor,"Accelgor, accelgor",Limaspeed,Accelgor,Hydragil,Accelgor,アギルダー,어지리더,敏捷虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stunfisk,"Stunfisk, stunfisk, stunfisk-galar",Limonde,Stunfisk,Flunschlik,Stunfisk,マッギョ,메더,泥巴鱼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mienfoo,"Mienfoo, mienfoo",Kungfouine,Mienfoo,Lin-Fu,Mienfoo,コジョフー,비조푸,功夫鼬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mienshao,"Mienshao, mienshao",Shaofouine,Mienshao,Wie-Shu,Mienshao,コジョンド,비조도,师父鼬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
druddigon,"Druddigon, druddigon",Drakkarmin,Druddigon,Shardrago,Druddigon,クリムガン,크리만,赤面龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golett,"Golett, golett",Gringolem,Golett,Golbit,Golett,ゴビット,골비람,泥偶小人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golurk,"Golurk, golurk",Golemastoc,Golurk,Golgantes,Golurk,ゴルーグ,골루그,泥偶巨人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
